Sample,Parentage or Populations?,Female Parent,Male Parent,Population,Lake,Notes
EN-32,Populations,,,E. Nipissing,Huron,Didn't work with GBS
EN-34,Populations,,,E. Nipissing,Huron,Didn't work with GBS
EN-35,Populations,,,E. Nipissing,Huron,Didn't work with GBS
G08-06,Populations,,,Grasse,Ontario,
G08-07,Populations,,,Grasse,Ontario,
G08-08,Populations,,,Grasse,Ontario,
G08-09,Populations,,,Grasse,Ontario,
G08-11,Populations,,,Grasse,Ontario,
G08-12,Populations,,,Grasse,Ontario,
G08-13,Populations,,,Grasse,Ontario,
G08-14,Populations,,,Grasse,Ontario,
GRD19,Populations,,,Garden,Huron,
GRD20,Populations,,,Garden,Huron,
GRD21,Populations,,,Garden,Huron,
GRD22,Populations,,,Garden,Huron,
GRD23,Populations,,,Garden,Huron,
GRD24,Populations,,,Garden,Huron,
GRD25,Populations,,,Garden,Huron,
GRD26,Populations,,,Garden,Huron,
GRD27,Populations,,,Garden,Huron,
GRD28,Populations,,,Garden,Huron,
GRD29,Populations,,,Garden,Huron,
GRD30,Populations,,,Garden,Huron,
GRD31,Populations,,,Garden,Huron,
GRD32,Populations,,,Garden,Huron,
GRD33,Populations,,,Garden,Huron,
GRD34,Populations,,,Garden,Huron,
K01-08,Populations,,,Kaministiquia,Superior,Didn't work with GBS
K01-09,Populations,,,Kaministiquia,Superior,Didn't work with GBS
K01-12,Populations,,,Kaministiquia,Superior,Didn't work with GBS
K01-15,Populations,,,Kaministiquia,Superior,Didn't work with GBS
K01-18,Populations,,,Kaministiquia,Superior,Didn't work with GBS
K01-20,Populations,,,Kaministiquia,Superior,Didn't work with GBS
K01-22,Populations,,,Kaministiquia,Superior,Didn't work with GBS
K01-26,Populations,,,Kaministiquia,Superior,Didn't work with GBS
K01-27,Populations,,,Kaministiquia,Superior,Didn't work with GBS
K01-30,Populations,,,Kaministiquia,Superior,Didn't work with GBS
K01-32,Populations,,,Kaministiquia,Superior,Didn't work with GBS
K01-38,Populations,,,Kaministiquia,Superior,Didn't work with GBS
K01-39,Populations,,,Kaministiquia,Superior,Didn't work with GBS
K01-43,Populations,,,Kaministiquia,Superior,Didn't work with GBS
K01-47,Populations,,,Kaministiquia,Superior,Didn't work with GBS
K01-51,Populations,,,Kaministiquia,Superior,Didn't work with GBS
K01-53,Populations,,,Kaministiquia,Superior,Didn't work with GBS
K01-55,Populations,,,Kaministiquia,Superior,Didn't work with GBS
K01-56,Populations,,,Kaministiquia,Superior,Didn't work with GBS
K01-57,Populations,,,Kaministiquia,Superior,Didn't work with GBS
K01-64,Populations,,,Kaministiquia,Superior,Didn't work with GBS
K01-66,Populations,,,Kaministiquia,Superior,Didn't work with GBS
K01-70,Populations,,,Kaministiquia,Superior,Didn't work with GBS
K01-71,Populations,,,Kaministiquia,Superior,Didn't work with GBS
K01-75,Populations,,,Kaministiquia,Superior,Didn't work with GBS
K01-76,Populations,,,Kaministiquia,Superior,Didn't work with GBS
K01-79,Populations,,,Kaministiquia,Superior,Didn't work with GBS
K01-81,Populations,,,Kaministiquia,Superior,Didn't work with GBS
K01-82,Populations,,,Kaministiquia,Superior,Didn't work with GBS
K01-83,Populations,,,Kaministiquia,Superior,Didn't work with GBS
K01-84,Populations,,,Kaministiquia,Superior,Didn't work with GBS
K01-85,Populations,,,Kaministiquia,Superior,Didn't work with GBS
KAL10,Populations,,,Kalamazoo,Michigan,
KAL11,Populations,,,Kalamazoo,Michigan,
KAL12,Populations,,,Kalamazoo,Michigan,
KAL13,Populations,,,Kalamazoo,Michigan,
KAL14,Populations,,,Kalamazoo,Michigan,
KAL15,Populations,,,Kalamazoo,Michigan,
KAL16,Populations,,,Kalamazoo,Michigan,
KAL17,Populations,,,Kalamazoo,Michigan,
KAL18,Populations,,,Kalamazoo,Michigan,
KAL19,Populations,,,Kalamazoo,Michigan,
KAL20,Populations,,,Kalamazoo,Michigan,
KAL21,Populations,,,Kalamazoo,Michigan,
KAL22,Populations,,,Kalamazoo,Michigan,
KAL23,Populations,,,Kalamazoo,Michigan,
KAL24,Populations,,,Kalamazoo,Michigan,
KAL25,Populations,,,Kalamazoo,Michigan,
KAL8,Populations,,,Kalamazoo,Michigan,
KAL9,Populations,,,Kalamazoo,Michigan,
LN00-11,Populations,,,Niagara,Ontario,
LN00-13,Populations,,,Niagara,Ontario,
LN00-15,Populations,,,Niagara,Ontario,
LN00-29,Populations,,,Niagara,Ontario,
LN01-04,Populations,,,Niagara,Ontario,
LN02-05071,Populations,,,Niagara,Ontario,
LN02-05078,Populations,,,Niagara,Ontario,
LN02-05705,Populations,,,Niagara,Ontario,
LN02-05713,Populations,,,Niagara,Ontario,
LN99-03,Populations,,,Niagara,Ontario,
LN99-04,Populations,,,Niagara,Ontario,
LS11GB100,Populations,,,Goulais,Superior,
LS11GB102,Populations,,,Goulais,Superior,
LS11GB104,Populations,,,Goulais,Superior,
LS11GB110,Populations,,,Goulais,Superior,
LS11GB93,Populations,,,Goulais,Superior,
LS11GB96,Populations,,,Goulais,Superior,
LS11GB97,Populations,,,Goulais,Superior,
LS11GB99,Populations,,,Goulais,Superior,
LS12GB100,Populations,,,Goulais,Superior,
LS12GB105,Populations,,,Goulais,Superior,
LS12GB51,Populations,,,Goulais,Superior,
LS12GB57,Populations,,,Goulais,Superior,
LS12GB62,Populations,,,Goulais,Superior,
LS12GB68,Populations,,,Goulais,Superior,
LS12GB78,Populations,,,Goulais,Superior,
LS12GB88,Populations,,,Goulais,Superior,
M01-02,Populations,,,Mississaugi,Huron,Didn't work with GBS
M01-04,Populations,,,Mississaugi,Huron,Didn't work with GBS
M01-06,Populations,,,Mississaugi,Huron,Didn't work with GBS
M01-07,Populations,,,Mississaugi,Huron,Didn't work with GBS
M01-09,Populations,,,Mississaugi,Huron,Didn't work with GBS
M01-10,Populations,,,Mississaugi,Huron,Didn't work with GBS
M01-13,Populations,,,Mississaugi,Huron,Didn't work with GBS
M01-14,Populations,,,Mississaugi,Huron,Didn't work with GBS
M01-15,Populations,,,Mississaugi,Huron,Didn't work with GBS
M01-16,Populations,,,Mississaugi,Huron,Didn't work with GBS
M01-17,Populations,,,Mississaugi,Huron,Didn't work with GBS
M01-18,Populations,,,Mississaugi,Huron,Didn't work with GBS
M01-19,Populations,,,Mississaugi,Huron,Didn't work with GBS
M01-21,Populations,,,Mississaugi,Huron,Didn't work with GBS
M01-23,Populations,,,Mississaugi,Huron,Didn't work with GBS
M01-24,Populations,,,Mississaugi,Huron,Didn't work with GBS
M01-26,Populations,,,Mississaugi,Huron,Didn't work with GBS
M01-28,Populations,,,Mississaugi,Huron,Didn't work with GBS
M01-31,Populations,,,Mississaugi,Huron,Didn't work with GBS
M01-34,Populations,,,Mississaugi,Huron,Didn't work with GBS
M01-35,Populations,,,Mississaugi,Huron,Didn't work with GBS
M01-36,Populations,,,Mississaugi,Huron,Didn't work with GBS
M01-40,Populations,,,Mississaugi,Huron,Didn't work with GBS
M01-41,Populations,,,Mississaugi,Huron,Didn't work with GBS
M03-44,Populations,,,Mississaugi,Huron,Didn't work with GBS
M03-45,Populations,,,Mississaugi,Huron,Didn't work with GBS
M03-46,Populations,,,Mississaugi,Huron,Didn't work with GBS
M03-47,Populations,,,Mississaugi,Huron,Didn't work with GBS
M03-49,Populations,,,Mississaugi,Huron,Didn't work with GBS
M03-50,Populations,,,Mississaugi,Huron,Didn't work with GBS
M03-52,Populations,,,Mississaugi,Huron,Didn't work with GBS
M03-53,Populations,,,Mississaugi,Huron,Didn't work with GBS
M-71,Populations,,,Menominee,Michigan,
M-72,Populations,,,Menominee,Michigan,
M-73,Populations,,,Menominee,Michigan,
M-74,Populations,,,Menominee,Michigan,
M-75,Populations,,,Menominee,Michigan,
M-76,Populations,,,Menominee,Michigan,
M-77,Populations,,,Menominee,Michigan,
M-78,Populations,,,Menominee,Michigan,
M-79,Populations,,,Menominee,Michigan,
M-80,Populations,,,Menominee,Michigan,
M-81,Populations,,,Menominee,Michigan,
M-82,Populations,,,Menominee,Michigan,
M-83,Populations,,,Menominee,Michigan,
M-84,Populations,,,Menominee,Michigan,
M-85,Populations,,,Menominee,Michigan,
M-86,Populations,,,Menominee,Michigan,
M-87,Populations,,,Menominee,Michigan,
M-88,Populations,,,Menominee,Michigan,
M-89,Populations,,,Menominee,Michigan,
MM12_100,Parentage,MM12_P014,MM12_P035,,,
MM12_101,Parentage,MM12_P041,MM12_P016,,,"Tube looked like 101, but spreadsheet says 111"
MM12_103,Parentage,MM12_P014,MM12_P035,,,
MM12_104,Parentage,MM12_P014,MM12_P035,,,
MM12_105,Parentage,MM12_P014,MM12_P035,,,
MM12_114,Parentage,MM12_P041,MM12_P016,,,"Sample not listed on spreadsheet, but based on box placement, I'm assuming it belongs with this family"
MM12_115,Parentage,MM12_P041,MM12_P016,,,
MM12_117,Parentage,MM12_P041,MM12_P016,,,
MM12_127,Parentage,MM12_P687,MM12_P126,,,
MM12_129,Parentage,MM12_P687,MM12_P126,,,
MM12_133,Parentage,MM12_P687,MM12_P126,,,
MM12_23,Parentage,MM12_P029,MM12_P027,,,
MM12_26,Parentage,MM12_P029,MM12_P027,,,
MM12_27,Parentage,MM12_P029,MM12_P027,,,
MM12_30,Parentage,MM12_P029,MM12_P027,,,"Both samples labeled MM12_30 were sequenced.  The one with parents P041 & P016 should actually be MM12_60. But it got overwritten somehow, because there is only one sequence file."
MM12_30,Parentage,MM12_P041,MM12_P016,,,
MM12_32,Parentage,MM12_P014,MM12_P035,,,
MM12_38,Parentage,MM12_P014,MM12_P035,,,
MM12_39,Parentage,MM12_P014,MM12_P035,,,
MM12_40,Parentage,MM12_P014,MM12_P035,,,
MM12_43,Parentage,MM12_P687,MM12_P126,,,
MM12_52,Parentage,MM12_P687,MM12_P126,,,
MM12_55,Parentage,MM12_P687,MM12_P126,,,
MM12_57,Parentage,MM12_P687,MM12_P126,,,
MM12_64,Parentage,MM12_P041,MM12_P016,,,
MM12_65,Parentage,MM12_P041,MM12_P016,,,
MM12_67,Parentage,MM12_P041,MM12_P016,,,
MM12_69,Parentage,MM12_P117,MM12_P178,,,
MM12_72,Parentage,MM12_P117,MM12_P178,,,
MM12_73,Parentage,MM12_P117,MM12_P178,,,
MM12_76,Parentage,MM12_P117,MM12_P178,,,
MM12_81,Parentage,MM12_P029,MM12_P027,,,
MM12_82,Parentage,MM12_P029,MM12_P027,,,
MM12_83,Parentage,MM12_P029,MM12_P027,,,
MM12_85,Parentage,MM12_P029,MM12_P027,,,
MM12_91,Parentage,MM12_P117,MM12_P178,,,
MM12_92,Parentage,MM12_P117,MM12_P178,,,
MM12_94,Parentage,MM12_P117,MM12_P178,,,
MM12_98,Parentage,MM12_P687,MM12_P126,,,"Tube looked like 98, but spreadsheet says 48"
MM12_B,Parentage,MM12_P173,MM12_P174,,,
MM12_D,Parentage,MM12_P173,MM12_P174,,,
MM12_G,Parentage,MM12_P173,MM12_P174,,,
MM12_H,Parentage,MM12_P173,MM12_P174,,,
MM12_K,Parentage,MM12_P145,MM12_P185,,,These parents were missing
MM12_M,Parentage,MM12_P145,MM12_P185,,,These parents were missing
MM12_N,Parentage,MM12_P145,MM12_P185,,,These parents were missing
MM12_O,Parentage,MM12_P145,MM12_P185,,,These parents were missing
MM12_P014,Parentage,Parent,,,,
MM12_P016,Parentage,Parent,,,,
MM12_P027,Parentage,Parent,,,,
MM12_P029,Parentage,Parent,,,,
MM12_P035,Parentage,Parent,,,,"Tube looked like P035, but spreadsheet says P030"
MM12_P041,Parentage,Parent,,,,
MM12_P117,Parentage,Parent,,,,
MM12_P126,Parentage,Parent,,,,
MM12_P173,Parentage,Parent,,,,
MM12_P174,Parentage,Parent,,,,
MM12_P178,Parentage,Parent,,,,
MM12_P687,Parentage,Parent,,,,
MNS10,Populations,,,Manistee,Michigan,
MNS11,Populations,,,Manistee,Michigan,
MNS13,Populations,,,Manistee,Michigan,
MNS14,Populations,,,Manistee,Michigan,
MNS15,Populations,,,Manistee,Michigan,
MNS16,Populations,,,Manistee,Michigan,
MNS17,Populations,,,Manistee,Michigan,
MNS18,Populations,,,Manistee,Michigan,
MNS19,Populations,,,Manistee,Michigan,
MNS20,Populations,,,Manistee,Michigan,
MNS23,Populations,,,Manistee,Michigan,
MNS26,Populations,,,Manistee,Michigan,
MNS29,Populations,,,Manistee,Michigan,
MNS36,Populations,,,Manistee,Michigan,
MNS37,Populations,,,Manistee,Michigan,It is likely the same samples got sequenced twice.
MNS37a,Populations,,,Manistee,Michigan,
MNS7,Populations,,,Manistee,Michigan,
MNS75,Populations,,,Manistee,Michigan,
MNS76,Populations,,,Manistee,Michigan,
MNS77,Populations,,,Manistee,Michigan,
MNS78,Populations,,,Manistee,Michigan,
MNS8,Populations,,,Manistee,Michigan,
MNS9,Populations,,,Manistee,Michigan,
MNS92,Populations,,,Manistee,Michigan,
MNS98,Populations,,,Manistee,Michigan,
MUS17,Populations,,,Muskegon,Michigan,
MUS18,Populations,,,Muskegon,Michigan,
MUS19,Populations,,,Muskegon,Michigan,
MUS20,Populations,,,Muskegon,Michigan,
MUS21,Populations,,,Muskegon,Michigan,
MUS22,Populations,,,Muskegon,Michigan,
MUS23,Populations,,,Muskegon,Michigan,
MUS24,Populations,,,Muskegon,Michigan,
NIP-01,Populations,,,Nipigon,Superior,Didn't work with GBS
NIP-02,Populations,,,Nipigon,Superior,Didn't work with GBS
NIP-03,Populations,,,Nipigon,Superior,Didn't work with GBS
NIP-04,Populations,,,Nipigon,Superior,Didn't work with GBS
NIP-05,Populations,,,Nipigon,Superior,Didn't work with GBS
NIP-06,Populations,,,Nipigon,Superior,Didn't work with GBS
NIP-07,Populations,,,Nipigon,Superior,Didn't work with GBS
NIP-08,Populations,,,Nipigon,Superior,Didn't work with GBS
NIP-09,Populations,,,Nipigon,Superior,Didn't work with GBS
NIP-10,Populations,,,Nipigon,Superior,Didn't work with GBS
P02-01,Populations,,,Pic,Superior,
P02-02,Populations,,,Pic,Superior,
P02-03,Populations,,,Pic,Superior,
P02-04,Populations,,,Pic,Superior,
P02-05,Populations,,,Pic,Superior,
P02-06,Populations,,,Pic,Superior,
P02-07,Populations,,,Pic,Superior,
P02-08,Populations,,,Pic,Superior,
P02-09,Populations,,,Pic,Superior,
P02-10,Populations,,,Pic,Superior,
P02-11,Populations,,,Pic,Superior,
P02-12,Populations,,,Pic,Superior,
P02-13,Populations,,,Pic,Superior,
P02-14,Populations,,,Pic,Superior,
P02-15,Populations,,,Pic,Superior,
P03-02,Populations,,,Pic,Superior,
P03-03,Populations,,,Pic,Superior,
P03-04,Populations,,,Pic,Superior,
P03-05,Populations,,,Pic,Superior,
P03-06,Populations,,,Pic,Superior,
P03-08,Populations,,,Pic,Superior,
P03-09,Populations,,,Pic,Superior,
P03-10,Populations,,,Pic,Superior,
P03-11,Populations,,,Pic,Superior,
P03-12,Populations,,,Pic,Superior,
P03-13,Populations,,,Pic,Superior,
P03-14,Populations,,,Pic,Superior,
P03-15,Populations,,,Pic,Superior,
P03-16,Populations,,,Pic,Superior,
P03-17,Populations,,,Pic,Superior,
P03-18,Populations,,,Pic,Superior,
P03-19,Populations,,,Pic,Superior,
SP05-02,Populations,,,Spanish,Huron,
SP05-04,Populations,,,Spanish,Huron,
SP05-05,Populations,,,Spanish,Huron,
SP05-06,Populations,,,Spanish,Huron,
SP05-07,Populations,,,Spanish,Huron,
SP05-14,Populations,,,Spanish,Huron,
SP05-15,Populations,,,Spanish,Huron,
SP05-37,Populations,,,Spanish,Huron,
SP05-38,Populations,,,Spanish,Huron,
SP05-39,Populations,,,Spanish,Huron,
SP05-41,Populations,,,Spanish,Huron,
SP05-42,Populations,,,Spanish,Huron,
SP05-43,Populations,,,Spanish,Huron,
SP05-44,Populations,,,Spanish,Huron,
SP05-45,Populations,,,Spanish,Huron,
SPR50,Populations,,,Serpent,Huron,
SPR51,Populations,,,Serpent,Huron,
SPR52,Populations,,,Serpent,Huron,
SPR53,Populations,,,Serpent,Huron,
SPR54,Populations,,,Serpent,Huron,
SPR55,Populations,,,Serpent,Huron,
SPR56,Populations,,,Serpent,Huron,
SPR57,Populations,,,Serpent,Huron,
SPR58,Populations,,,Serpent,Huron,
SPR59,Populations,,,Serpent,Huron,
SPR60,Populations,,,Serpent,Huron,
SPR61,Populations,,,Serpent,Huron,
SPR62,Populations,,,Serpent,Huron,
SPR63,Populations,,,Serpent,Huron,
SPR64,Populations,,,Serpent,Huron,
SPR65,Populations,,,Serpent,Huron,
SR01,Populations,,,Sturgeon,Superior,
SR03,Populations,,,Sturgeon,Superior,
SR04,Populations,,,Sturgeon,Superior,
SR06,Populations,,,Sturgeon,Superior,
SR07,Populations,,,Sturgeon,Superior,
SR09,Populations,,,Sturgeon,Superior,
SR10,Populations,,,Sturgeon,Superior,
SR13,Populations,,,Sturgeon,Superior,
SR14,Populations,,,Sturgeon,Superior,
SR15,Populations,,,Sturgeon,Superior,
SR17,Populations,,,Sturgeon,Superior,
SR19,Populations,,,Sturgeon,Superior,
SR20,Populations,,,Sturgeon,Superior,
SR21,Populations,,,Sturgeon,Superior,
SR22,Populations,,,Sturgeon,Superior,
SR23,Populations,,,Sturgeon,Superior,
SR26,Populations,,,Sturgeon,Superior,
SR29,Populations,,,Sturgeon,Superior,
SR32,Populations,,,Sturgeon,Superior,
SR33,Populations,,,Sturgeon,Superior,
SR34,Populations,,,Sturgeon,Superior,
SR35,Populations,,,Sturgeon,Superior,
SR36,Populations,,,Sturgeon,Superior,
SR38,Populations,,,Sturgeon,Superior,
SR39,Populations,,,Sturgeon,Superior,
SR40,Populations,,,Sturgeon,Superior,
SR41,Populations,,,Sturgeon,Superior,
SR42,Populations,,,Sturgeon,Superior,
SR44,Populations,,,Sturgeon,Superior,
SR45,Populations,,,Sturgeon,Superior,
SR47,Populations,,,Sturgeon,Superior,
SR48,Populations,,,Sturgeon,Superior,
STC25150,Populations,,,St Clair,Huron,
STC25152,Populations,,,St Clair,Huron,
STC25154,Populations,,,St Clair,Huron,
STC25155,Populations,,,St Clair,Huron,
STC25156,Populations,,,St Clair,Huron,
STC25163,Populations,,,St Clair,Huron,
STC25165,Populations,,,St Clair,Huron,
STC25166,Populations,,,St Clair,Huron,
STC25167,Populations,,,St Clair,Huron,
STC25170,Populations,,,St Clair,Huron,
STC25171,Populations,,,St Clair,Huron,
STC25172,Populations,,,St Clair,Huron,
STC25174,Populations,,,St Clair,Huron,
STC25177,Populations,,,St Clair,Huron,
STC25180,Populations,,,St Clair,Huron,
STC25181,Populations,,,St Clair,Huron,
STC25182,Populations,,,St Clair,Huron,
STC25207,Populations,,,St Clair,Huron,
STC27266,Populations,,,St Clair,Huron,
STC27270,Populations,,,St Clair,Huron,
STC27272,Populations,,,St Clair,Huron,
STC31371,Populations,,,St Clair,Huron,
Toba_155,Populations,,,Manitoba,Hudson Bay,
Toba_187,Populations,,,Manitoba,Hudson Bay,
Toba_21,Populations,,,Manitoba,Hudson Bay,
Toba_23,Populations,,,Manitoba,Hudson Bay,
Toba_242,Populations,,,Manitoba,Hudson Bay,
Toba_272,Populations,,,Manitoba,Hudson Bay,
Toba_28,Populations,,,Manitoba,Hudson Bay,
Toba_316,Populations,,,Manitoba,Hudson Bay,
Toba_323,Populations,,,Manitoba,Hudson Bay,
Toba_388,Populations,,,Manitoba,Hudson Bay,
Toba_399,Populations,,,Manitoba,Hudson Bay,
Toba_404,Populations,,,Manitoba,Hudson Bay,
Toba_412,Populations,,,Manitoba,Hudson Bay,
Toba_444,Populations,,,Manitoba,Hudson Bay,
Toba_446,Populations,,,Manitoba,Hudson Bay,
Toba_450,Populations,,,Manitoba,Hudson Bay,
Toba_56,Populations,,,Manitoba,Hudson Bay,
Toba_57,Populations,,,Manitoba,Hudson Bay,
Toba_62,Populations,,,Manitoba,Hudson Bay,
Toba_63,Populations,,,Manitoba,Hudson Bay,
Toba_65,Populations,,,Manitoba,Hudson Bay,
Toba_95,Populations,,,Manitoba,Hudson Bay,
VL-01,Populations,,,Champlain,Champlain,Didn't work with GBS
VL-02,Populations,,,Champlain,Champlain,Didn't work with GBS
VL-03,Populations,,,Champlain,Champlain,Didn't work with GBS
VL-04,Populations,,,Champlain,Champlain,Didn't work with GBS
VL-06,Populations,,,Champlain,Champlain,Didn't work with GBS
VL-07,Populations,,,Champlain,Champlain,Didn't work with GBS
VL-09,Populations,,,Champlain,Champlain,Didn't work with GBS
VW-01,Populations,,,Champlain,Champlain,Didn't work with GBS
VW-02,Populations,,,Champlain,Champlain,Didn't work with GBS
VW-05,Populations,,,Champlain,Champlain,Didn't work with GBS
VW-08,Populations,,,Champlain,Champlain,Didn't work with GBS
VW-09,Populations,,,Champlain,Champlain,Didn't work with GBS
VW-10,Populations,,,Champlain,Champlain,Didn't work with GBS
VW-11,Populations,,,Champlain,Champlain,Didn't work with GBS
VW-12,Populations,,,Champlain,Champlain,Didn't work with GBS
VW-13,Populations,,,Champlain,Champlain,Didn't work with GBS
VW-14,Populations,,,Champlain,Champlain,Didn't work with GBS
VW-15,Populations,,,Champlain,Champlain,Didn't work with GBS
VW-16,Populations,,,Champlain,Champlain,Didn't work with GBS
VW-17,Populations,,,Champlain,Champlain,Didn't work with GBS
VW-18,Populations,,,Champlain,Champlain,Didn't work with GBS
VW-19,Populations,,,Champlain,Champlain,Didn't work with GBS
VW-20,Populations,,,Champlain,Champlain,Didn't work with GBS
VW-21,Populations,,,Champlain,Champlain,Didn't work with GBS
W-146,Populations,,,Wolf,Michigan,
W-147,Populations,,,Wolf,Michigan,
W-148,Populations,,,Wolf,Michigan,
W-149,Populations,,,Wolf,Michigan,
W-150,Populations,,,Wolf,Michigan,
W-151,Populations,,,Wolf,Michigan,
W-152,Populations,,,Wolf,Michigan,
W-153,Populations,,,Wolf,Michigan,
W-154,Populations,,,Wolf,Michigan,
W-155,Populations,,,Wolf,Michigan,
W-173,Populations,,,Wolf,Michigan,
W-174,Populations,,,Wolf,Michigan,
W-175,Populations,,,Wolf,Michigan,
W-176,Populations,,,Wolf,Michigan,
W-177,Populations,,,Wolf,Michigan,
W-178,Populations,,,Wolf,Michigan,
WH-01,Populations,,,White (ON),Superior,
WH-03,Populations,,,White (ON),Superior,
WH-05,Populations,,,White (ON),Superior,
WH-07,Populations,,,White (ON),Superior,
WH-09,Populations,,,White (ON),Superior,
WH-10,Populations,,,White (ON),Superior,
WH-11,Populations,,,White (ON),Superior,
WH-12,Populations,,,White (ON),Superior,
WH-13,Populations,,,White (ON),Superior,
WH-14,Populations,,,White (ON),Superior,
WH-15,Populations,,,White (ON),Superior,
WH-18,Populations,,,White (ON),Superior,
WH-20,Populations,,,White (ON),Superior,
WH-21,Populations,,,White (ON),Superior,
WH-22,Populations,,,White (ON),Superior,
WH-23,Populations,,,White (ON),Superior,
WH-25,Populations,,,White (ON),Superior,
WH-28,Populations,,,White (ON),Superior,
WH-32,Populations,,,White (ON),Superior,
WH-36,Populations,,,White (ON),Superior,
WH-41,Populations,,,White (ON),Superior,
WH-42,Populations,,,White (ON),Superior,
WH-44,Populations,,,White (ON),Superior,
WH-45,Populations,,,White (ON),Superior,
WH-46,Populations,,,White (ON),Superior,
WH-47,Populations,,,White (ON),Superior,
WH-48,Populations,,,White (ON),Superior,
WH-50,Populations,,,White (ON),Superior,
WH-51,Populations,,,White (ON),Superior,
WH-53,Populations,,,White (ON),Superior,
WH-56,Populations,,,White (ON),Superior,
WH-57,Populations,,,White (ON),Superior,
WN-02,Populations,,,W. Nipissing,Huron,Didn't work with GBS
WN-03,Populations,,,W. Nipissing,Huron,Didn't work with GBS
WN-05,Populations,,,W. Nipissing,Huron,Didn't work with GBS
WN-06,Populations,,,W. Nipissing,Huron,Didn't work with GBS
WN-07,Populations,,,W. Nipissing,Huron,Didn't work with GBS
WN-16,Populations,,,W. Nipissing,Huron,Didn't work with GBS
WN-20,Populations,,,W. Nipissing,Huron,Didn't work with GBS
WN-21,Populations,,,W. Nipissing,Huron,Didn't work with GBS
WN-23,Populations,,,W. Nipissing,Huron,Didn't work with GBS
WN-26,Populations,,,W. Nipissing,Huron,Didn't work with GBS
WN-27,Populations,,,W. Nipissing,Huron,Didn't work with GBS
WN-28,Populations,,,W. Nipissing,Huron,Didn't work with GBS
WN-32,Populations,,,W. Nipissing,Huron,Didn't work with GBS
WN-33,Populations,,,W. Nipissing,Huron,Didn't work with GBS
WN-35,Populations,,,W. Nipissing,Huron,Didn't work with GBS
WN-40,Populations,,,W. Nipissing,Huron,Didn't work with GBS
